,period,max_price,min_price,open_price,close_price,Volume
0,2025-01-02-1,270,249,267,261,955
1,2025-01-02-2,269,248,264,266,908
2,2025-01-02-3,270,248,269,254,936
3,2025-01-02-4,269,247,255,265,978
4,2025-01-02-5,267,247,262,261,983
5,2025-01-02-6,266,243,257,259,990
6,2025-01-02-7,268,245,258,262,976
7,2025-01-02-8,269,249,262,262,982
8,2025-01-02-9,272,249,262,256,965
9,2025-01-02-10,274,254,259,269,985
10,2025-01-02-11,273,252,269,253,940
11,2025-01-02-12,277,253,261,266,940
12,2025-01-02-13,280,258,267,267,916
13,2025-01-02-14,284,259,267,283,972
14,2025-01-02-15,286,265,284,276,952
15,2025-01-02-16,291,266,275,285,959
16,2025-01-02-17,294,273,282,282,955
17,2025-01-02-18,293,274,284,292,933
18,2025-01-02-19,294,273,291,286,975
19,2025-01-02-20,296,276,289,289,992
20,2025-01-02-21,297,275,287,290,969
21,2025-01-02-22,298,277,294,281,954
22,2025-01-02-23,302,280,280,290,966
23,2025-01-02-24,301,279,292,290,987
24,2025-01-02-25,302,280,288,296,967
25,2025-01-02-26,303,280,295,295,974
26,2025-01-02-27,299,276,295,279,972
27,2025-01-02-28,298,276,280,293,904
28,2025-01-02-29,297,275,293,283,942
29,2025-01-02-30,294,274,284,287,996
30,2025-01-02-31,293,272,289,286,1000
31,2025-01-02-32,293,272,286,284,957
32,2025-01-02-33,296,273,276,274,943
33,2025-01-02-34,296,273,277,295,955
34,2025-01-02-35,295,274,295,287,967
35,2025-01-02-36,295,274,284,283,994
36,2025-01-02-37,297,277,283,297,943
37,2025-01-02-38,299,275,296,290,949
38,2025-01-02-39,299,278,289,295,923
39,2025-01-02-40,297,275,291,294,917
40,2025-01-02-41,297,274,295,288,926
41,2025-01-02-42,296,276,288,286,969
42,2025-01-02-43,295,273,285,294,982
43,2025-01-02-44,295,272,295,282,926
44,2025-01-02-45,295,273,280,275,974
45,2025-01-02-46,298,274,275,288,967
46,2025-01-02-47,300,279,287,285,968
47,2025-01-02-48,299,277,285,288,962
48,2025-01-02-49,300,278,290,289,950
49,2025-01-02-50,302,277,284,288,978
50,2025-01-03-1,300,277,281,295,1002
51,2025-01-03-2,300,281,300,294,1076
52,2025-01-03-3,300,282,295,300,1075
53,2025-01-03-4,302,282,300,293,1010
54,2025-01-03-5,303,283,293,297,1040
55,2025-01-03-6,306,285,298,298,1043
56,2025-01-03-7,312,289,297,298,1042
57,2025-01-03-8,313,293,298,304,1098
58,2025-01-03-9,312,291,304,310,1028
59,2025-01-03-10,310,286,310,301,1057
60,2025-01-03-11,306,284,301,301,1021
61,2025-01-03-12,303,282,297,299,1083
62,2025-01-03-13,302,281,296,300,1008
63,2025-01-03-14,300,277,300,290,1045
64,2025-01-03-15,297,275,287,290,1024
65,2025-01-03-16,295,275,288,284,1072
66,2025-01-03-17,294,273,291,294,1030
67,2025-01-03-18,295,275,292,293,1054
68,2025-01-03-19,296,274,293,294,1027
69,2025-01-03-20,295,271,290,280,1040
70,2025-01-03-21,291,270,279,291,1041
71,2025-01-03-22,293,271,291,290,1062
72,2025-01-03-23,296,275,290,282,1005
73,2025-01-03-24,298,274,292,292,1060
74,2025-01-03-25,298,278,292,291,1012
75,2025-01-03-26,299,277,292,298,1055
76,2025-01-03-27,300,279,298,282,990
77,2025-01-03-28,302,281,290,298,1018
78,2025-01-03-29,301,279,296,298,1041
79,2025-01-03-30,302,278,298,298,1061
80,2025-01-03-31,304,284,297,284,976
81,2025-01-03-32,307,284,290,303,1065
82,2025-01-03-33,311,289,299,303,1019
83,2025-01-03-34,313,292,303,298,1041
84,2025-01-03-35,313,291,294,310,989
85,2025-01-03-36,314,291,306,308,1034
86,2025-01-03-37,317,293,308,302,1069
87,2025-01-03-38,310,290,302,304,991
88,2025-01-03-39,314,290,304,307,1052
89,2025-01-03-40,313,291,304,307,1053
90,2025-01-03-41,309,288,305,294,1042
91,2025-01-03-42,308,288,297,298,1054
92,2025-01-03-43,304,284,295,299,1035
93,2025-01-03-44,303,280,300,294,1089
94,2025-01-03-45,302,284,297,299,1046
95,2025-01-03-46,303,283,296,300,1032
96,2025-01-03-47,304,282,300,302,1058
97,2025-01-03-48,304,281,302,290,1043
98,2025-01-03-49,302,280,293,293,1024
99,2025-01-03-50,300,278,291,291,1060
100,2025-01-06-1,299,276,278,295,947
101,2025-01-06-2,301,280,295,296,945
102,2025-01-06-3,303,280,296,288,959
103,2025-01-06-4,302,280,289,298,950
104,2025-01-06-5,299,279,298,291,983
105,2025-01-06-6,302,277,289,295,986
106,2025-01-06-7,303,281,295,292,970
107,2025-01-06-8,302,280,289,293,972
108,2025-01-06-9,303,278,293,293,944
109,2025-01-06-10,305,283,295,296,917
110,2025-01-06-11,306,284,295,303,995
111,2025-01-06-12,307,285,303,302,1007
112,2025-01-06-13,310,289,301,309,982
113,2025-01-06-14,310,289,309,295,996
114,2025-01-06-15,311,290,297,304,949
115,2025-01-06-16,314,290,304,308,949
116,2025-01-06-17,314,289,308,298,967
117,2025-01-06-18,311,289,304,299,965
118,2025-01-06-19,314,292,292,300,986
119,2025-01-06-20,318,294,301,314,956
120,2025-01-06-21,320,295,313,308,963
121,2025-01-06-22,319,297,312,318,979
122,2025-01-06-23,319,298,318,311,973
123,2025-01-06-24,322,298,311,316,984
124,2025-01-06-25,325,302,316,311,952
125,2025-01-06-26,326,301,312,325,915
126,2025-01-06-27,329,305,323,324,972
127,2025-01-06-28,330,308,325,313,945
128,2025-01-06-29,330,309,315,323,973
129,2025-01-06-30,331,310,323,325,974
130,2025-01-06-31,328,303,325,311,914
131,2025-01-06-32,327,304,309,319,925
132,2025-01-06-33,328,304,318,313,931
133,2025-01-06-34,327,304,312,318,935
134,2025-01-06-35,330,306,318,309,993
135,2025-01-06-36,328,306,315,326,954
136,2025-01-06-37,326,301,326,322,934
137,2025-01-06-38,329,306,320,316,908
138,2025-01-06-39,329,308,324,322,956
139,2025-01-06-40,334,315,327,333,955
140,2025-01-06-41,337,311,330,329,967
141,2025-01-06-42,336,315,332,320,962
142,2025-01-06-43,332,309,320,323,969
143,2025-01-06-44,333,309,323,322,986
144,2025-01-06-45,334,311,322,326,933
145,2025-01-06-46,336,315,328,331,939
146,2025-01-06-47,339,317,333,338,931
147,2025-01-06-48,346,319,338,338,983
148,2025-01-06-49,345,321,337,333,986
149,2025-01-06-50,340,318,333,327,1031
150,2025-01-07-1,341,321,336,336,927
151,2025-01-07-2,340,319,332,331,878
152,2025-01-07-3,341,320,324,337,888
153,2025-01-07-4,338,317,336,332,885
154,2025-01-07-5,339,319,335,336,862
155,2025-01-07-6,340,319,335,329,902
156,2025-01-07-7,341,319,329,338,894
157,2025-01-07-8,341,319,341,333,922
158,2025-01-07-9,342,321,328,339,831
159,2025-01-07-10,343,324,340,340,870
160,2025-01-07-11,342,322,340,333,869
161,2025-01-07-12,345,324,333,337,904
162,2025-01-07-13,344,324,336,339,912
163,2025-01-07-14,351,326,343,334,844
164,2025-01-07-15,356,331,336,353,884
