,date,max_price,min_price,open_price,close_price
0,2025-01-02,303.0,243.0,267.0,288.0
1,2025-01-03,317.0,270.0,281.0,291.0
2,2025-01-04,,,,
3,2025-01-05,,,,
4,2025-01-06,346.0,276.0,278.0,327.0
5,2025-01-07,388.0,317.0,336.0,369.0
6,2025-01-08,374.0,303.0,365.0,311.0
7,2025-01-09,366.0,300.0,316.0,312.0
8,2025-01-10,336.0,276.0,321.0,281.0
9,2025-01-11,,,,
10,2025-01-12,,,,
11,2025-01-13,353.0,273.0,278.0,346.0
12,2025-01-14,359.0,304.0,347.0,352.0
13,2025-01-15,359.0,289.0,356.0,296.0
14,2025-01-16,321.0,260.0,297.0,274.0
15,2025-01-17,322.0,265.0,282.0,321.0
16,2025-01-18,,,,
17,2025-01-19,,,,
18,2025-01-20,374.0,303.0,303.0,368.0
19,2025-01-21,397.0,315.0,356.0,316.0
20,2025-01-22,338.0,278.0,329.0,295.0
21,2025-01-23,304.0,264.0,278.0,284.0
22,2025-01-24,312.0,266.0,278.0,283.0
23,2025-01-25,,,,
24,2025-01-26,,,,
25,2025-01-27,378.0,273.0,273.0,370.0
26,2025-01-28,383.0,320.0,357.0,355.0
27,2025-01-29,370.0,297.0,345.0,311.0
28,2025-01-30,332.0,289.0,299.0,320.0
29,2025-01-31,327.0,282.0,326.0,307.0
30,2025-02-01,,,,
31,2025-02-02,,,,
32,2025-02-03,366.0,287.0,287.0,355.0
33,2025-02-04,375.0,318.0,363.0,341.0
34,2025-02-05,360.0,264.0,355.0,280.0
35,2025-02-06,314.0,260.0,265.0,309.0
36,2025-02-07,343.0,288.0,300.0,306.0
37,2025-02-08,,,,
38,2025-02-09,,,,
39,2025-02-10,342.0,289.0,307.0,324.0
40,2025-02-11,352.0,304.0,311.0,346.0
41,2025-02-12,347.0,272.0,344.0,292.0
42,2025-02-13,304.0,265.0,286.0,287.0
43,2025-02-14,309.0,265.0,275.0,300.0
44,2025-02-15,,,,
45,2025-02-16,,,,
46,2025-02-17,349.0,278.0,294.0,339.0
47,2025-02-18,343.0,296.0,323.0,323.0
48,2025-02-19,343.0,249.0,332.0,256.0
49,2025-02-20,282.0,235.0,261.0,272.0
50,2025-02-21,283.0,236.0,276.0,252.0
51,2025-02-22,,,,
52,2025-02-23,,,,
53,2025-02-24,312.0,237.0,243.0,291.0
54,2025-02-25,329.0,283.0,304.0,303.0
55,2025-02-26,322.0,258.0,308.0,273.0
56,2025-02-27,279.0,230.0,265.0,248.0
57,2025-02-28,265.0,225.0,241.0,252.0
58,2025-03-01,,,,
59,2025-03-02,,,,
60,2025-03-03,291.0,245.0,259.0,277.0
61,2025-03-04,286.0,238.0,280.0,260.0
62,2025-03-05,267.0,195.0,261.0,218.0
63,2025-03-06,219.0,191.0,204.0,210.0
64,2025-03-07,217.0,189.0,199.0,214.0
65,2025-03-08,,,,
66,2025-03-09,,,,
67,2025-03-10,240.0,193.0,196.0,234.0
68,2025-03-11,240.0,205.0,220.0,212.0
69,2025-03-12,235.0,177.0,220.0,192.0
70,2025-03-13,199.0,173.0,186.0,191.0
71,2025-03-14,202.0,173.0,190.0,188.0
72,2025-03-15,,,,
73,2025-03-16,,,,
74,2025-03-17,221.0,176.0,193.0,211.0
75,2025-03-18,223.0,187.0,204.0,198.0
76,2025-03-19,209.0,163.0,200.0,177.0
77,2025-03-20,184.0,149.0,176.0,157.0
