,period,max_price,min_price,open_price,close_price
0,2025-01-02-1,270,249,267,261
1,2025-01-02-2,269,248,264,266
2,2025-01-02-3,270,248,269,254
3,2025-01-02-4,269,247,255,265
4,2025-01-02-5,267,247,262,261
5,2025-01-02-6,266,243,257,259
6,2025-01-02-7,268,245,258,262
7,2025-01-02-8,269,249,262,262
8,2025-01-02-9,272,249,262,256
9,2025-01-02-10,274,254,259,269
10,2025-01-02-11,273,252,269,253
11,2025-01-02-12,277,253,261,266
12,2025-01-02-13,280,258,267,267
13,2025-01-02-14,284,259,267,283
14,2025-01-02-15,286,265,284,276
15,2025-01-02-16,291,266,275,285
16,2025-01-02-17,294,273,282,282
17,2025-01-02-18,293,274,284,292
18,2025-01-02-19,294,273,291,286
19,2025-01-02-20,296,276,289,289
20,2025-01-02-21,297,275,287,290
21,2025-01-02-22,298,277,294,281
22,2025-01-02-23,302,280,280,290
23,2025-01-02-24,301,279,292,290
24,2025-01-02-25,302,280,288,296
25,2025-01-02-26,303,280,295,295
26,2025-01-02-27,299,276,295,279
27,2025-01-02-28,298,276,280,293
28,2025-01-02-29,297,275,293,283
29,2025-01-02-30,294,274,284,287
30,2025-01-02-31,293,272,289,286
31,2025-01-02-32,293,272,286,284
32,2025-01-02-33,296,273,276,274
33,2025-01-02-34,296,273,277,295
34,2025-01-02-35,295,274,295,287
35,2025-01-02-36,295,274,284,283
36,2025-01-02-37,297,277,283,297
37,2025-01-02-38,299,275,296,290
38,2025-01-02-39,299,278,289,295
39,2025-01-02-40,297,275,291,294
40,2025-01-02-41,297,274,295,288
41,2025-01-02-42,296,276,288,286
42,2025-01-02-43,295,273,285,294
43,2025-01-02-44,295,272,295,282
44,2025-01-02-45,295,273,280,275
45,2025-01-02-46,298,274,275,288
46,2025-01-02-47,300,279,287,285
47,2025-01-02-48,299,277,285,288
48,2025-01-02-49,300,278,290,289
49,2025-01-02-50,302,277,284,288
50,2025-01-03-1,300,277,281,295
51,2025-01-03-2,300,281,300,294
52,2025-01-03-3,300,282,295,300
53,2025-01-03-4,302,282,300,293
54,2025-01-03-5,303,283,293,297
55,2025-01-03-6,306,285,298,298
56,2025-01-03-7,312,289,297,298
57,2025-01-03-8,313,293,298,304
58,2025-01-03-9,312,291,304,310
59,2025-01-03-10,310,286,310,301
60,2025-01-03-11,306,284,301,301
61,2025-01-03-12,303,282,297,299
62,2025-01-03-13,302,281,296,300
63,2025-01-03-14,300,277,300,290
64,2025-01-03-15,297,275,287,290
65,2025-01-03-16,295,275,288,284
66,2025-01-03-17,294,273,291,294
67,2025-01-03-18,295,275,292,293
68,2025-01-03-19,296,274,293,294
69,2025-01-03-20,295,271,290,280
70,2025-01-03-21,291,270,279,291
71,2025-01-03-22,293,271,291,290
72,2025-01-03-23,296,275,290,282
73,2025-01-03-24,298,274,292,292
74,2025-01-03-25,298,278,292,291
75,2025-01-03-26,299,277,292,298
76,2025-01-03-27,300,279,298,282
77,2025-01-03-28,302,281,290,298
78,2025-01-03-29,301,279,296,298
79,2025-01-03-30,302,278,298,298
80,2025-01-03-31,304,284,297,284
81,2025-01-03-32,307,284,290,303
82,2025-01-03-33,311,289,299,303
83,2025-01-03-34,313,292,303,298
84,2025-01-03-35,313,291,294,310
85,2025-01-03-36,314,291,306,308
86,2025-01-03-37,317,293,308,302
87,2025-01-03-38,310,290,302,304
88,2025-01-03-39,314,290,304,307
89,2025-01-03-40,313,291,304,307
90,2025-01-03-41,309,288,305,294
91,2025-01-03-42,308,288,297,298
92,2025-01-03-43,304,284,295,299
93,2025-01-03-44,303,280,300,294
94,2025-01-03-45,302,284,297,299
95,2025-01-03-46,303,283,296,300
96,2025-01-03-47,304,282,300,302
97,2025-01-03-48,304,281,302,290
98,2025-01-03-49,302,280,293,293
99,2025-01-03-50,300,278,291,291
100,2025-01-06-1,299,276,278,295
101,2025-01-06-2,301,280,295,296
102,2025-01-06-3,303,280,296,288
103,2025-01-06-4,302,280,289,298
104,2025-01-06-5,299,279,298,291
105,2025-01-06-6,302,277,289,295
106,2025-01-06-7,303,281,295,292
107,2025-01-06-8,302,280,289,293
108,2025-01-06-9,303,278,293,293
109,2025-01-06-10,305,283,295,296
110,2025-01-06-11,306,284,295,303
111,2025-01-06-12,307,285,303,302
112,2025-01-06-13,310,289,301,309
113,2025-01-06-14,310,289,309,295
114,2025-01-06-15,311,290,297,304
115,2025-01-06-16,314,290,304,308
116,2025-01-06-17,314,289,308,298
117,2025-01-06-18,311,289,304,299
118,2025-01-06-19,314,292,292,300
119,2025-01-06-20,318,294,301,314
120,2025-01-06-21,320,295,313,308
121,2025-01-06-22,319,297,312,318
122,2025-01-06-23,319,298,318,311
123,2025-01-06-24,322,298,311,316
124,2025-01-06-25,325,302,316,311
125,2025-01-06-26,326,301,312,325
126,2025-01-06-27,329,305,323,324
127,2025-01-06-28,330,308,325,313
128,2025-01-06-29,330,309,315,323
129,2025-01-06-30,331,310,323,325
130,2025-01-06-31,328,303,325,311
131,2025-01-06-32,327,304,309,319
132,2025-01-06-33,328,304,318,313
