date,max_price,min_price,open_price,close_price
2025-04-25,173.0,140.0,166.0,151.0
2025-04-28,182.0,140.0,158.0,173.0
2025-04-29,192.0,163.0,174.0,177.0
2025-04-30,200.0,169.0,187.0,195.0
2025-05-01,200.0,167.0,193.0,188.0
2025-05-02,206.0,166.0,176.0,201.0
2025-05-06,227.0,188.0,227.0,200.0
2025-05-07,211.0,165.0,209.0,184.0
2025-05-08,188.0,158.0,178.0,179.0
2025-05-09,180.0,153.0,164.0,170.0
2025-05-12,180.0,152.0,173.0,168.0
2025-05-13,180.0,143.0,176.0,163.0
2025-05-14,165.0,130.0,161.0,141.0
2025-05-15,153.0,124.0,139.0,137.0
2025-05-16,146.0,120.0,142.0,136.0
2025-05-19,149.0,117.0,137.0,131.0
2025-05-20,150.0,126.0,143.0,145.0
2025-05-21,149.0,120.0,148.0,130.0
2025-05-22,140.0,116.0,130.0,128.0
2025-05-23,135.0,113.0,120.0,125.0
